file_path,file_name,file_type,category,description,source_or_derived,related_manuscript_item,source_script_or_origin,upstream_data_dependency,license_notes,include_in_figshare
README.md,README.md,Markdown,package_metadata,Top-level description of the figshare research-data package.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
registry/README.md,README.md,Markdown,registry,Registry folder guide.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
external_validation/README.md,README.md,Markdown,external_validation,External validation redistribution note.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
mpra_variant_effect/README.md,README.md,Markdown,mpra_variant_effect,MPRA redistribution note.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
synthetic_benchmark/README.md,README.md,Markdown,synthetic_benchmark,GenomeCF-Synth package note.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
registry/benchmark_registry.csv,benchmark_registry.csv,tabular text,registry,Canonical row-level benchmark registry.,derived,Supplementary Data / Registry,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
registry/benchmark_registry.jsonl,benchmark_registry.jsonl,JSON,registry,JSONL version of the canonical benchmark registry.,derived,Supplementary Data / Registry,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
registry/benchmark_summary.csv,benchmark_summary.csv,tabular text,registry,Derived benchmark summary table.,derived,Supplementary Data / Registry,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Data_Dictionary.csv,Data_Dictionary.csv,tabular text,source_data,Column dictionary for the manuscript source-data package.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig1/metadata.json,metadata.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig1/panel_definitions.csv,panel_definitions.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig1/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig1/source_script.txt,source_script.txt,plain text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/fig2_tradeoff_points.csv,fig2_tradeoff_points.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/metadata.json,metadata.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/source_registry_rows.csv,source_registry_rows.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/source_script.txt,source_script.txt,plain text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig3/fig3_foundation_comparison.csv,fig3_foundation_comparison.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
